# Authored and repaired underground columns x,z,highestAffectedY; require one terrain block above.
# Excludes only 372 surface entrance columns; includes all 6679 underground columns.
-18,0,-4
-19,-1,-5
-19,0,-5
-19,1,-5
-18,-3,-5
-18,-2,-5
-18,2,-5
-18,3,-5
-20,-1,-6
-20,0,-6
-20,1,-6
-19,-3,-6
-19,-2,-6
-19,2,-6
-19,3,-6
-18,-4,-6
-18,4,-6
-21,-1,-7
-21,0,-7
-21,1,-7
-20,-3,-7
-20,-2,-7
-20,2,-7
-20,3,-7
-19,-4,-7
-19,4,-7
-18,-5,-7
-18,5,-7
-22,-1,-8
-22,0,-8
-22,1,-8
-21,-3,-8
-21,-2,-8
-21,2,-8
-21,3,-8
-20,-4,-8
-20,4,-8
-19,-5,-8
-19,5,-8
-23,-1,-9
-23,0,-9
-23,1,-9
-22,-3,-9
-22,-2,-9
-22,2,-9
-22,3,-9
-21,-4,-9
-21,4,-9
-20,-5,-9
-20,5,-9
-18,6,-9
-24,-1,-10
-24,0,-10
-24,1,-10
-23,-3,-10
-23,-2,-10
-23,2,-10
-23,3,-10
-22,-4,-10
-22,4,-10
-21,-5,-10
-21,5,-10
-19,-6,-10
-19,6,-10
-25,-1,-11
-25,0,-11
-25,1,-11
-24,-3,-11
-24,-2,-11
-24,2,-11
-24,3,-11
-23,-4,-11
-23,4,-11
-22,-5,-11
-22,5,-11
-20,-6,-11
-20,6,-11
-26,-1,-12
-26,0,-12
-26,1,-12
-25,-3,-12
-25,-2,-12
-25,2,-12
-25,3,-12
-24,-4,-12
-24,4,-12
-23,-5,-12
-23,5,-12
-21,-6,-12
-21,6,-12
-27,-1,-13
-27,0,-13
-27,1,-13
-26,-3,-13
-26,-2,-13
-26,2,-13
-26,3,-13
-25,-4,-13
-25,4,-13
-24,-5,-13
-24,5,-13
-22,-6,-13
-22,6,-13
-28,-1,-14
-28,0,-14
-28,1,-14
-27,-3,-14
-27,-2,-14
-27,2,-14
-27,3,-14
-26,-4,-14
-26,4,-14
-25,-5,-14
-25,5,-14
-23,-6,-14
-23,6,-14
-29,-1,-15
-29,0,-15
-29,1,-15
-28,-3,-15
-28,-2,-15
-28,2,-15
-28,3,-15
-27,-4,-15
